,,,,,,,599,1174,133,1486,876,2356,5494,1239,30,11422,911,163,354,18344,2323,623,142,392,206,294,343,131,740,500,265,50,130,1914,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B25127_74_built_1940_to_1959
,,,,,,,451,1117,64,1112,607,1532,4024,949,30,7464,814,163,271,9669,1597,505,116,308,192,192,245,90,568,304,172,41,89,1475,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,"B25127_75_1,_detached__or_attached"
,,,,,,,127,16,30,250,172,354,375,179,0,1026,48,0,23,2274,161,99,21,0,8,76,27,4,115,116,68,9,41,350,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B25127_76_2_to_4
,,,,,,,21,0,0,101,42,313,677,42,0,2165,12,0,60,3635,365,16,3,58,6,26,42,0,0,80,25,0,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B25127_77_5_to_19
,,,,,,,0,33,0,19,0,29,316,11,0,288,0,0,0,891,47,0,0,0,0,0,13,0,0,0,0,0,0,9,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B25127_78_20_to_49
,,,,,,,0,0,0,0,0,29,102,0,0,418,0,0,0,1819,51,3,2,26,0,0,7,0,0,0,0,0,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B25127_79_50_or_more
,,,,,,,0,8,39,4,55,99,0,58,0,61,37,0,0,56,102,0,0,0,0,0,9,37,57,0,0,0,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,"B25127_80_mobile_home,_boat,_rv,_van,_etc."
,,,,,,,223,451,149,1384,490,476,1521,885,58,2527,161,173,255,9577,558,83,38,242,73,119,325,208,522,413,77,135,46,526,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B25127_81_built_1939_or_earlier
,,,,,,,205,434,141,928,187,213,941,572,58,1408,161,157,198,3942,418,63,38,216,73,114,308,123,460,413,71,118,46,372,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,"B25127_82_1,_detached__or_attached"
,,,,,,,18,17,8,269,20,126,179,65,0,488,0,0,0,1728,39,7,0,14,0,0,11,73,56,0,6,7,0,127,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B25127_83_2_to_4
,,,,,,,0,0,0,0,69,114,321,115,0,463,0,0,0,1788,70,13,0,12,0,0,6,0,0,0,0,10,0,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B25127_84_5_to_19
,,,,,,,0,0,0,38,69,0,39,0,0,49,0,0,0,714,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B25127_85_20_to_49
,,,,,,,0,0,0,50,145,23,41,133,0,77,0,0,9,1405,21,0,0,0,0,0,0,0,6,0,0,0,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B25127_86_50_or_more
,,,,,,,0,0,0,99,0,0,0,0,0,42,0,16,48,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,"B25127_87_mobile_home,_boat,_rv,_van,_etc."
,,,,,,,75099,102623,23556,114898,235896,274150,739072,138015,23397,736066,140152,110306,211300,1010420,889954,28722,11607,217506,13732,18282,21152,18013,105042,152399,30343,17919,88482,64192,88695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_1_total
,,,,,,,67575,94244,22831,107220,212232,237982,644667,128687,22409,672224,127246,102500,191236,935846,705333,28302,11529,203427,13199,17867,20710,17448,99653,143533,29420,17646,79452,61401,85138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_2_not_hispanic_or_latino
,,,,,,,54809,80298,15685,81705,188379,30835,392231,98747,21707,213843,60795,70754,158260,403350,349434,26195,9862,101652,10110,11887,11912,12903,51168,111299,28416,15536,30593,38112,67361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_3_white_alone
,,,,,,,8320,10773,6644,21436,14515,185643,194071,23981,276,392421,61725,23263,6056,440568,230815,1237,1162,88487,2858,5293,8116,4238,44742,27271,148,1841,45162,21402,14619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_4_black_or_african_american_alone
,,,,,,,56,201,17,303,169,647,964,133,18,1666,130,284,382,1591,1359,67,2,137,26,16,36,24,170,276,15,0,94,259,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_5_american_indian_and_alaska_native_alone
,,,,,,,2679,962,140,901,4416,14463,37635,2514,64,44468,2308,4871,22255,67267,99659,221,61,7143,41,138,133,11,1041,1436,164,31,1748,602,1090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_6_asian_alone
,,,,,,,0,2,0,108,0,21,305,17,0,240,15,88,41,263,329,0,10,0,0,0,0,0,124,52,10,0,220,19,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_7_native_hawaiian_and_other_pacific_islander_alone
,,,,,,,158,313,127,727,578,1063,2417,361,31,3096,166,501,213,3547,4246,81,0,569,0,0,90,15,229,265,0,0,134,57,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_8_some_other_race_alone
,,,,,,,1553,1695,218,2040,4175,5310,17044,2934,313,16490,2107,2739,4029,19260,19491,501,432,5439,164,533,423,257,2179,2934,667,238,1501,950,1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_9_two_or_more_races
,,,,,,,66,297,5,33,259,153,1163,0,0,847,85,143,327,1048,1212,10,0,260,0,0,6,0,189,47,0,0,76,25,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_10_two_races_including_some_other_race
,,,,,,,1487,1398,213,2007,3916,5157,15881,2934,313,15643,2022,2596,3702,18212,18279,491,432,5179,164,533,417,257,1990,2887,667,238,1425,925,1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races"
,,,,,,,7524,8379,725,7678,23664,36168,94405,9328,988,63842,12906,7806,20064,74574,184621,420,78,14079,533,415,442,565,5389,8866,923,273,9030,2791,3557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_12_hispanic_or_latino
,,,,,,,5146,5655,510,4285,15495,20209,50700,7291,902,41146,6919,5489,17079,51547,101537,221,39,8794,247,229,303,448,3438,4912,609,241,6628,2265,2708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_13_white_alone
,,,,,,,92,240,42,165,1108,2799,6463,242,0,4922,1294,78,174,5384,6673,0,0,1534,0,0,12,5,691,1000,0,5,703,0,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_14_black_or_african_american_alone
,,,,,,,135,118,0,171,538,34,692,52,0,3225,36,56,113,2165,1613,0,3,0,0,0,0,0,146,13,7,0,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_15_american_indian_and_alaska_native_alone
,,,,,,,0,0,0,0,3,23,262,5,0,100,12,55,63,236,216,0,0,34,0,0,0,0,20,156,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_16_asian_alone
,,,,,,,0,0,18,0,43,0,122,25,0,7,0,0,0,93,42,0,0,15,0,0,0,0,0,13,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_17_native_hawaiian_and_other_pacific_islander_alone
,,,,,,,1799,2223,121,2653,5568,12248,32238,1264,29,11313,3953,1324,2292,10682,68184,111,3,2339,286,14,116,112,561,2090,267,27,1224,438,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_18_some_other_race_alone
,,,,,,,352,143,34,404,909,855,3928,449,57,3129,692,804,343,4467,6356,88,33,1363,0,172,11,0,533,682,40,0,464,88,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_19_two_or_more_races
,,,,,,,308,87,34,369,375,538,1913,133,57,1855,335,582,102,1582,3718,56,25,990,0,0,11,0,354,452,0,0,106,29,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B03002_20_two_races_including_some_other_race
,,,,,,,44,56,0,35,534,317,2015,316,0,1274,357,222,241,2885,2638,32,8,373,0,172,0,0,179,230,40,0,358,59,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races"
,,,,,,,24588,37120,8053,41123,83150,91604,274361,50531,8557,273614,48426,39604,70468,391850,283256,11033,4379,72697,5100,6263,8108,6698,35823,51397,11379,5963,29937,23475,30488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_1_total
,,,,,,,10035,13633,2800,14668,32118,36285,97283,19861,2312,84266,18555,13882,33044,111849,121992,3933,1491,30090,1706,1555,2189,2139,14262,22476,3271,1978,10910,7261,11692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_2_households_with_one_or_more_people_under_18_years
,,,,,,,9956,13575,2798,14572,31821,35858,96516,19620,2288,83648,18410,13777,32913,111303,121319,3871,1406,29925,1700,1520,2133,2129,14093,22399,3238,1946,10771,7251,11585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_3_family_households
,,,,,,,6618,8919,1767,9629,24379,16218,65515,13553,1755,47005,11182,10882,27916,66043,85588,2457,943,18487,1280,1010,1081,1457,8237,15946,2469,1541,5621,3731,7607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_4_married-couple_family
,,,,,,,3338,4656,1031,4943,7442,19640,31001,6067,533,36643,7228,2895,4997,45260,35731,1414,463,11438,420,510,1052,672,5856,6453,769,405,5150,3520,3978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_5_other_family
,,,,,,,1172,1271,320,1487,2164,3590,6526,1377,196,6677,1161,673,1336,8418,8951,545,98,2282,128,36,188,79,1085,1672,271,141,1172,447,1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,"B11005_6_male_householder,_no_wife_present"
,,,,,,,2166,3385,711,3456,5278,16050,24475,4690,337,29966,6067,2222,3661,36842,26780,869,365,9156,292,474,864,593,4771,4781,498,264,3978,3073,2944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,"B11005_7_female_householder,_no_husband_present"
,,,,,,,79,58,2,96,297,427,767,241,24,618,145,105,131,546,673,62,85,165,6,35,56,10,169,77,33,32,139,10,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_8_nonfamily_households
,,,,,,,43,53,2,96,233,175,531,171,24,483,40,77,107,342,557,62,78,117,6,35,56,10,134,36,33,32,139,10,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_9_male_householder
,,,,,,,36,5,0,0,64,252,236,70,0,135,105,28,24,204,116,0,7,48,0,0,0,0,35,41,0,0,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_10_female_householder
,,,,,,,14553,23487,5253,26455,51032,55319,177078,30670,6245,189348,29871,25722,37424,280001,161264,7100,2888,42607,3394,4708,5919,4559,21561,28921,8108,3985,19027,16214,18796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_11_households_with_no_people_under_18_years
,,,,,,,8394,13092,2962,13666,29863,25401,90952,18542,4133,76941,16387,16753,24864,100411,93785,4172,1622,26393,1987,2295,3510,3083,11843,18029,5295,2505,11142,8868,12222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_12_family_households
,,,,,,,6778,10715,2296,11131,25809,15335,73732,15793,3558,52757,12558,14870,22029,75622,74863,3484,1340,21425,1579,1732,2661,2317,9225,14472,4633,2004,8991,6707,10331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_13_married-couple_family
,,,,,,,1616,2377,666,2535,4054,10066,17220,2749,575,24184,3829,1883,2835,24789,18922,688,282,4968,408,563,849,766,2618,3557,662,501,2151,2161,1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_14_other_family
,,,,,,,492,882,160,688,1486,2956,5400,898,156,6695,1077,476,791,6922,5972,216,93,1526,100,187,185,362,856,1489,190,180,562,588,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,"B11005_15_male_householder,_no_wife_present"
,,,,,,,1124,1495,506,1847,2568,7110,11820,1851,419,17489,2752,1407,2044,17867,12950,472,189,3442,308,376,664,404,1762,2068,472,321,1589,1573,1254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,"B11005_16_female_householder,_no_husband_present"
,,,,,,,6159,10395,2291,12789,21169,29918,86126,12128,2112,112407,13484,8969,12560,179590,67479,2928,1266,16214,1407,2413,2409,1476,9718,10892,2813,1480,7885,7346,6574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_17_nonfamily_households
,,,,,,,2772,5156,1031,5679,8970,14169,37330,5356,1110,49995,6344,3810,5468,83464,31415,1249,581,6945,723,1161,1083,625,4174,4806,1319,737,3397,3117,2958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_18_male_householder
,,,,,,,3387,5239,1260,7110,12199,15749,48796,6772,1002,62412,7140,5159,7092,96126,36064,1679,685,9269,684,1252,1326,851,5544,6086,1494,743,4488,4229,3616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11005_19_female_householder
,,,,,,,24588,37120,8053,41123,83150,91604,274361,50531,8557,273614,48426,39604,70468,391850,283256,11033,4379,72697,5100,6263,8108,6698,35823,51397,11379,5963,29937,23475,30488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11016_1_total
,,,,,,,18350,26667,5760,28238,61684,61259,187468,38162,6421,160589,34797,30530,57777,211714,215104,8043,3028,56318,3687,3815,5643,5212,25936,40428,8533,4451,21913,16119,23807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11016_2_family_households
,,,,,,,6653,10526,2461,10904,23789,20694,75640,14992,3272,65501,13413,13838,20054,92938,72695,3225,1330,21547,1707,1967,2899,2418,9357,14246,4516,1855,9280,7288,10007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11016_3_2-person_household
,,,,,,,4550,7115,1359,7603,15201,15727,45537,9505,1409,40587,8719,6714,12924,50159,52400,2284,722,13196,768,689,1208,1324,6259,9790,1917,969,5129,3651,5591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11016_4_3-person_household
,,,,,,,3672,5096,902,5263,13981,11946,39498,8340,1092,31484,7189,5828,16054,42398,48566,1323,523,11987,667,664,782,978,5933,9646,1130,1067,3855,3164,5055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11016_5_4-person_household
,,,,,,,1986,2604,784,3059,5565,7935,16770,3360,467,13360,3167,2774,6152,17876,24600,841,340,6037,329,303,375,338,2558,4272,631,401,2122,991,1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11016_6_5-person_household
,,,,,,,1028,816,163,886,2137,3015,6640,1083,134,5155,1231,937,1767,5790,11092,176,60,2209,127,138,117,72,1191,1660,240,123,1033,589,798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11016_7_6-person_household
,,,,,,,461,510,91,523,1011,1942,3383,882,47,4502,1078,439,826,2553,5751,194,53,1342,89,54,262,82,638,814,99,36,494,436,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11016_8_7-or-more_person_household
,,,,,,,6238,10453,2293,12885,21466,30345,86893,12369,2136,113025,13629,9074,12691,180136,68152,2990,1351,16379,1413,2448,2465,1486,9887,10969,2846,1512,8024,7356,6681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11016_9_nonfamily_households
,,,,,,,5057,8361,1912,10263,17312,25707,68720,10194,1852,90165,11157,8284,10129,150379,55453,2537,1126,14202,1318,2266,2200,1323,8111,9094,2254,1387,6720,6200,5580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11016_10_1-person_household
,,,,,,,1048,1908,372,1992,3205,3630,14120,1812,272,19014,2046,649,2046,25484,9982,355,140,1937,89,155,202,133,1428,1483,484,74,1060,1055,918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11016_11_2-person_household
,,,,,,,77,111,9,394,561,615,2746,190,12,2642,297,118,302,3011,1847,36,30,202,0,27,16,18,245,264,97,48,120,101,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11016_12_3-person_household
,,,,,,,37,20,0,120,334,195,1041,131,0,785,102,14,144,963,711,34,55,24,0,0,47,7,103,128,0,3,105,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12060.0,2013-2017,B11016_13_4-person_household
